bookID,title,authors,average_rating,isbn,isbn13,language_code,  num_pages,ratings_count,text_reviews_count,publication_date,publisher,image_url
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,4.57,439785960,9.78E+12,eng,652,2095690,27591,9/16/2006,Scholastic Inc.,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1587697303l/1._SX318_.jpg
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,4.49,439358078,9.78E+12,eng,870,2153167,29221,9/1/2004,Scholastic Inc.,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1660911061l/2.jpg
4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.42,439554896,9.78E+12,eng,352,6333,244,11/1/2003,Scholastic,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1474154604l/4._SY475_.jpg
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,4.56,043965548X,9.78E+12,eng,435,2339585,36325,5/1/2004,Scholastic Inc.,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630547330l/5._SY475_.jpg
8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,4.78,439682584,9.78E+12,eng,2690,41428,164,9/13/2004,Scholastic,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388185391l/8.jpg
9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.74,976540606,9.78E+12,en-US,152,19,1,4/26/2005,Nimble Books,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386921401l/9.jpg
10,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,439827604,9.78E+12,eng,3342,28242,808,9/12/2005,Scholastic,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328867351l/10.jpg
12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,517226952,9.78E+12,eng,815,3628,254,11/1/2005,Gramercy Books,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404658218l/12.jpg
13,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,345453743,9.78E+12,eng,815,249558,4080,4/30/2002,Del Rey Books,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404613595l/13.jpg
14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,1400052920,9.78E+12,eng,215,4930,460,8/3/2004,Crown,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1660621883l/14._SY475_.jpg
16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,4.22,739322206,9.78E+12,eng,6,1266,253,3/23/2005,Random House Audio,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1282925073l/16.jpg
18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,517149257,9.78E+12,eng,815,2877,195,1/17/1996,Wings Books,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1429997177l/18.jpg
21,A Short History of Nearly Everything,Bill Bryson,4.21,076790818X,9.78E+12,eng,544,248558,9396,9/14/2004,Broadway Books,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1433086293l/21._SY475_.jpg
22,Bill Bryson's African Diary,Bill Bryson,3.44,767915062,9.78E+12,eng,55,7270,499,12/3/2002,Broadway Books,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388276959l/22.jpg
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.87,767910435,9.78E+12,eng,256,2088,131,9/14/2004,Broadway Books,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1432224908l/23.jpg
24,In a Sunburned Country,Bill Bryson,4.07,767903862,9.78E+12,eng,335,72451,4245,5/15/2001,Broadway Books,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388176242l/24.jpg
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9,076790382X,9.78E+12,eng,304,49240,2211,6/28/2000,Broadway Books,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388184037l/25.jpg
26,The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,60920084,9.78E+12,eng,299,45712,2257,8/28/1990,William Morrow Paperbacks,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404042682l/26.jpg
27,Neither Here nor There: Travels in Europe,Bill Bryson,3.86,380713802,9.78E+12,eng,254,48701,2238,3/28/1993,William Morrow Paperbacks,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388187396l/27.jpg
28,Notes from a Small Island,Bill Bryson,3.91,380727501,9.78E+12,eng,324,80609,3301,5/28/1997,William Morrow Paperbacks,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1479653223l/28._SY475_.jpg
29,The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93,380715430,9.78E+12,eng,270,28489,2085,9/28/1991,William Morrow Paperbacks,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388209925l/29._SY475_.jpg
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,345538374,9.78E+12,eng,1728,101233,1550,9/25/2012,Ballantine Books,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1656625315l/30._SX318_.jpg
31,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,618517650,9.78E+12,eng,1184,1710,91,10/21/2004,Houghton Mifflin Harcourt,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1497757613l/31._SY475_.jpg
34,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36,618346252,9.78E+12,eng,398,2128944,13670,9/5/2003,Houghton Mifflin Harcourt,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1298411339l/34.jpg
35,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,4.5,618260587,9.78E+12,en-US,1216,1618,140,10/1/2002,Houghton Mifflin Harcourt,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1411371881l/35.jpg
36,The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,4.53,618391002,9.78E+12,eng,218,19822,46,11/5/2003,Houghton Mifflin Harcourt,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388290346l/36.jpg
37,The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,618510826,9.78E+12,eng,224,359,6,11/15/2004,Houghton Mifflin Harcourt,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1440784433l/37._SX318_.jpg
